,segments_start,segments_end,sentence,chunk_name,parent_name,translations
0,0.0,9.0,दोस्तों bash में nested और multilevel if statement के spoken tutorial में आपका स्वागत है,100051_GigsEKRBMhvNwolC_0000,GigsEKRBMhvNwolC,Friends welcome to the spoken tutorial of nested and multilevel if statement in bash.
1,9.0,12.0,इस tutorial में हम निम्न के बारे में सीखेंगे,100051_GigsEKRBMhvNwolC_0001,GigsEKRBMhvNwolC,In this tutorial we will learn about the following
2,12.0,14.0,nested ifelse और,100051_GigsEKRBMhvNwolC_0002,GigsEKRBMhvNwolC,nested ifelse else
3,14.0,17.0,multilevel ifelse statement,100051_GigsEKRBMhvNwolC_0003,GigsEKRBMhvNwolC,multilevel ifelse statement
4,17.0,22.0,हम यह कुछ उदाहरण उपयोग करके करेंगे,100051_GigsEKRBMhvNwolC_0004,GigsEKRBMhvNwolC,We will do this using some examples
5,22.0,28.0,इस tutorial के अनुसरण के लिए आपको लिनक्स operating system से परिचित होना चाहिए,100051_GigsEKRBMhvNwolC_0005,GigsEKRBMhvNwolC,You must be familiar with Linux operating system to follow this tutorial
6,28.0,35.0,यदि नहीं तो सम्बंधित tutorials के लिए कृपया हमारी website पर जाएँ,100051_GigsEKRBMhvNwolC_0006,GigsEKRBMhvNwolC,If not then please visit our website for related tutorials
7,35.0,38.0,इस tutorial के लिए मैं उपयोग कर रही हूँ,100051_GigsEKRBMhvNwolC_0007,GigsEKRBMhvNwolC,for this tutorial i am using
8,38.0,42.0,ubuntu लिनक्स 1204 os और,100051_GigsEKRBMhvNwolC_0008,GigsEKRBMhvNwolC,ubuntu linux 1204 os and
9,42.0,46.0,gnu bash version 4110,100051_GigsEKRBMhvNwolC_0009,GigsEKRBMhvNwolC,gnu bash version 4110
10,46.0,52.0,अभ्यास के लिए gnu bash version 4 या उससे नए की सलाह दी जाती है,100051_GigsEKRBMhvNwolC_0010,GigsEKRBMhvNwolC,gnu bash version 4 or newer is recommended for practice
11,52.0,57.0,अब nested ifelse statement का flow यानी प्रवाह समझते हैं,100051_GigsEKRBMhvNwolC_0011,GigsEKRBMhvNwolC,Now understand the flow of nested ifelse statement
12,57.0,64.0,यहाँ यदि condition 1 true है तो condition 2 मूल्यांकित की जाएगी,100051_GigsEKRBMhvNwolC_0012,GigsEKRBMhvNwolC,Here if condition 1 is true then condition 2 will be evaluated
13,64.0,70.0,यदि कंडीशन 2 true है तो statement 1 निष्पादित किया जाएगा,100051_GigsEKRBMhvNwolC_0013,GigsEKRBMhvNwolC,if condition 2 is true then statement 1 will be executed
14,70.0,79.0,जिसका मतलब है केवल जब conditions 1 और 2 दोनों true हैं that statement 1 निष्पादित किया जायेगा,100051_GigsEKRBMhvNwolC_0014,GigsEKRBMhvNwolC,Which means only when both conditions 1 and 2 are true that statement 1 will be executed
15,79.0,85.0,यदि कंडीशन 1 false है तो statement 3 निष्पादित किया जायेगा,100051_GigsEKRBMhvNwolC_0015,GigsEKRBMhvNwolC,if condition 1 is false then statement 3 will be executed
16,85.0,91.0,और यदि condition 2 false है तो statement 2 निष्पादित किया जायेगा,100051_GigsEKRBMhvNwolC_0016,GigsEKRBMhvNwolC,else if condition 2 is false then statement 2 will be executed
17,91.0,93.0,एक उदाहरण देखते हैं,100051_GigsEKRBMhvNwolC_0017,GigsEKRBMhvNwolC,see an example
18,93.0,98.0,मैंने nestedifelse sh file में code लिख लिया है,100051_GigsEKRBMhvNwolC_0018,GigsEKRBMhvNwolC,I have written code in nestedifelse sh file
19,98.0,100.0,मैं इसे खोलूंगी,100051_GigsEKRBMhvNwolC_0019,GigsEKRBMhvNwolC,i will open it
20,100.0,103.0,अब मैं code समझाती हूँ,100051_GigsEKRBMhvNwolC_0020,GigsEKRBMhvNwolC,now i explain the code
21,103.0,105.0,यह शीबैंग line है,100051_GigsEKRBMhvNwolC_0021,GigsEKRBMhvNwolC,this is the shebang line
22,105.0,110.0,variable name को value anusha नियुक्त की गयी है,100051_GigsEKRBMhvNwolC_0022,GigsEKRBMhvNwolC,variable name is assigned value anusha
